line_id,mean_margin,skewness,has_numeric,num_median_norm,numeric_count_norm,num_above,num_margin,digit_char_frec,has_digit,area_norm,norm_wid,width_rel,bbox_width_inv,bbox_w_dif,ratio_area_norm,area_inv,area_dif,aspcrat_inv_norm,perimeter_norm,perimeter_inv,perimeter_dif,diag_inv,diag_dif,diag_norm,angle_inv,compact,prev_xmin_align,prev_xmax_align,next_xmin_align,next_xmax_align,align_prev,align_next,center_aling
line_0027,0.863425926,0.522353198,1,1,0.8,1,0.293333333,0.764705882,1,0.818716374,0.910466583,0.70233463,1.003823427,0.996176573,0.818716374,1.132522157,0.867477843,0.836936471,0.919958599,1.009448397,0.990551603,1.003631362,0.996368638,0.910958738,1.03918773,0.806795966,1,0.998015427,0.896327145,0.830917376,0.999021226,0.96671496,0.864497662
line_0005,1,0.28182073,1,3,1,1,1,0.923076923,1,1,1,0.780880773,1.918205805,0.081794195,1,2.315075971,-0.315075971,0.960398456,1,1.867647059,0.132352941,1.914830119,0.085169881,1,0.629919554,0.912782865,0.974265951,0.93479254,0.91828802,0.16161391,0.981117627,0.424947262,0.813802779
line_0006,0,0,-1,1,0.333333333,-1,0,0.076923077,-1,0.031067007,0.035075653,0.027389903,0.067282322,0.067282322,0.031067007,0.071922482,0.071922482,0,0.074146982,0.138480392,0.138480392,0.105602596,0.105602596,0.055149851,11.55501807,0.161530677,0.908299802,0.134529233,0.937739174,0.50731951,0.383863032,0.761571497,0.314702988
line_0013,0.860294118,0.544836708,1,3,1,1,1,0.846153846,1,1,0.975,0.815661479,1.260902256,0.739097744,1,1.414614827,0.585385173,0.947435897,0.978037253,1.254188948,0.745811052,1.260533521,0.739466479,0.975149794,0.867428339,0.900004654,0.889164911,0.410711686,0.976329417,0.983573128,0.710425764,0.996437077,0.917345405
line_0014,1,-0.444311631,1,2,0.666666667,1,0.472222222,0.615384615,1,0.82299984,0.926744186,0.775291829,1.198496241,0.801503759,0.82299984,1.164227776,0.835772224,0.952117315,0.925771476,1.187165775,0.812834225,1.197902545,0.802097455,0.926698418,0.790281186,0.97980985,0.975238675,0.98281594,0.924898884,0.567773276,0.996285841,0.805220291,0.922374412
line_0015,1,-0.362983667,-1,1,0.333333333,-1,-0.194444444,0.230769231,1,0.215788938,0.233139535,0.195038911,0.301503759,0.301503759,0.215788938,0.305258231,0.305258231,0.801620948,0.26410898,0.338680927,0.338680927,0.306139148,0.306139148,0.236829503,3.239867844,0.304138303,0.921958964,0.554084399,0.994650099,0.572069553,0.797848254,0.775412306,0.651311666
line_0016,0.57486631,0.762200847,1,3,1,1,1,0.846153846,1,0.748687406,0.85755814,0.717412451,1.109022556,0.890977444,0.748687406,1.059104306,0.940895694,0.949128814,0.858938004,1.101461676,0.898538324,1.108614436,0.891385564,0.857625062,0.839533655,0.927165088,0.994421286,0.557294163,1,0.998277721,0.766677484,0.999153469,0.983414603
line_0017,1,-0.031284593,1,3,1,1,1,0.846153846,1,0.862214029,0.859883721,0.719357977,1.112030075,0.887969925,0.862214029,1.219700749,0.780299251,0.941731463,0.866926142,1.111705288,0.888294712,1.112008214,0.887991786,0.860250492,0.961389669,0.82013071,1,0.998216677,0.997506242,0.530326175,0.999121999,0.747835964,0.984768186
line_0018,0.088235294,0.744605389,-1,1,0.333333333,-1,-0.194444444,0.230769231,1,0.108068997,0.112209302,0.093871595,0.145112782,0.145112782,0.108068997,0.152876005,0.152876005,0.57111399,0.150125104,0.192513369,0.192513369,0.156003391,0.156003391,0.120684355,6.739680916,0.196218289,0.997416586,0.517321456,0.998798078,0.545662588,0.739676028,0.755717009,0.592284739
line_0019,0.936061381,0.40622964,1,3,1,1,1,0.769230769,1,0.778768707,0.850581395,0.711575875,1.1,0.9,0.778768707,1.10165776,0.89834224,0.94621326,0.854156241,1.095329768,0.904670232,1.099740037,0.900259963,0.850759819,0.887571436,0.881454919,0.998753118,0.532331726,0.997671567,1,0.747465312,0.998852371,0.985445009
line_0020,1,0.242192757,1,3,1,1,1,0.769230769,1,0.795849877,0.854069767,0.714494163,1.104511278,0.895488722,0.795849877,1.125821036,0.874178964,0.94548162,0.858215179,1.100534759,0.899465241,1.104288012,0.895711988,0.854278137,0.899624211,0.870753423,0.997596161,1,0.950875975,0.988361967,0.998815447,0.970013492,0.983414603
line_0021,1,-0.321203754,1,2,0.666666667,1,0.472222222,0.615384615,1,0.832911558,0.912209302,0.763132296,1.179699248,0.820300752,0.832911558,1.178249039,0.821750961,0.949984066,0.912983041,1.170766488,0.829233512,1.179221192,0.820778808,0.912246508,0.825439815,0.941587085,0.949227975,0.987970601,0.952279084,0.578092246,0.969028858,0.798540682,0.928752951
Promedio:,0.75233836,0.299834967,0.909090909,1.917424242,0.82005772,0.757575758,0.608616601,0.719881978,0.96969697,0.730233961,0.907204186,0.716445617,1.048859094,0.871418472,0.730233961,1.105131206,0.811074936,0.84526574,0.912844966,1.050575036,0.875669752,1.04946706,0.872432112,0.907897496,1.21422012,0.873039626,0.990734437,0.932064165,0.973643952,0.926254583,0.961778179,0.955144626,0.893569322
Mediana:,0.885594729,0.307561176,1,1.25,0.816666667,1,0.693333333,0.764705882,1,0.721456188,0.959189843,0.75729572,1.021181001,0.970706096,0.721456188,1.071072254,0.900788597,0.843393838,0.96064561,1.025397325,0.965216071,1.021127035,0.970867022,0.959197803,0.939577121,0.911033939,0.998232959,0.99551082,0.998333004,0.992077702,0.995714109,0.995883056,0.919859909
Diferencia:,0.13325637,0.007726209,0.090909091,-0.667424242,-0.003391053,0.242424242,0.084716733,0.044823904,0.03030303,-0.008777773,0.051985657,0.040850102,-0.027678092,0.099287624,-0.008777773,-0.034058951,0.089713661,-0.001871902,0.047800645,-0.025177711,0.08954632,-0.028340025,0.098434911,0.051300307,-0.274642998,0.037994313,0.007498522,0.063446655,0.024689052,0.065823119,0.03393593,0.040738431,0.026290587
